Sl.No,State_Name,Institution_Name,Institution_Type
8239,Rajasthan,ARYA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA SIKAR (Id: S-7523),Teacher Training
8240,Rajasthan,ARYA SHIKSHAK PRASHIKSHAN SANSTHAN SIKAR (Id: S-7524),Teacher Training
8241,Rajasthan,ASHA DEVI INSTITUTE OF NURSING CHURU (Id: S-5059),Nursing
8242,Rajasthan,"ASHA DEVI POLYTECHNIC COLLEGE, CHURU (Id: S-2543)",Technical/Polytechnic
8243,Rajasthan,A S SCHOOL OF NURSING SRIGANGANAGAR (Id: S-5048),Nursing
8244,Rajasthan,ASSOCIATED GROUP OF HOSPITAL JODHPUR (Id: S-5060),Nursing
8245,Rajasthan,"BABA BHUTESHWAR COLLEGE OF POLYTECHNIC, DHOLPUR (Id: S-2545)",Technical/Polytechnic
8246,Rajasthan,BABA KHETANATH MAHILA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA (Id: S-7525),Teacher Training
8247,Rajasthan,BALAJI INSTITUTE OF TECHNOLOGY AND ENGINEERING SOJAT CITY (PALI) (Id: S-2546),Technical/Polytechnic
8248,Rajasthan,"BALAJI POLYTECHNIC COLLEGE BHAMATSAR, BIKANER (Id: S-2615)",Technical/Polytechnic
8249,Rajasthan,BALAJI SCHOOL OF NURSING CHURU (Id: S-5062),Nursing
8250,Rajasthan,BANSAL SCHOOL OF NURSING HANUMANGARH (Id: S-5063),Nursing
8251,Rajasthan,"BASIC ELEMENTORY TRAINING STC COLLEGE, BIKANER (Id: S-12519)",Teacher Training
8252,Rajasthan,"BEAWAR POLYTECHNIC COLLEGE, AJMER (Id: S-2547)",Technical/Polytechnic
8253,Rajasthan,"BHADRIYA MATESHWARI POLYTECHNIC COLLEGE FOR WOMAN, JALORE (Id: S-2548)",Technical/Polytechnic
8254,Rajasthan,BHAGWATI SHIKSHAN PRASHIKSHAN MAHAVIDYALAYA NASIS COLONY GANGAPUR CITY SAWAI MADHOPUR (Id: S-7526),Teacher Training
8255,Rajasthan,"BHARAT INSTITUTE OF POLYTECHNIC and SCIENCES, JAIPUR (Id: S-2657)",Technical/Polytechnic
8256,Rajasthan,BHARAT SCHOOL OF NURSING JODHPUR (Id: S-5064),Nursing
8257,Rajasthan,BHARAT TEACHER TRAINING SCHOOL KISHANGANJ BARAN (Id: S-7527),Teacher Training
8258,Rajasthan,"BHARTI SHIKSHAK PRASHIKSHAN SANSTHAN, SHIGANGANAGAR (Id: S-12542)",Teacher Training
8259,Rajasthan,"BHAWANI INSTITUTE OF TECHNICAL EDUCATION, NAGAUR (Id: S-2550)",Technical/Polytechnic
8260,Rajasthan,"BHIWADI COLLEGE OF POLYTECHNIC, BHIWADI (Id: S-2551)",Technical/Polytechnic
8261,Rajasthan,BIKANER INSTITUTE OF MEDICAL SCIENCE BIKANER (Id: S-5065),Nursing
8262,Rajasthan,BIRLA SARVAJANIK HOSPITAL JHUNJHUNU (Id: S-5066),Nursing
8263,Rajasthan,"BIRLA TECHNICAL TRAINING INSTITUTE, PILANI (Id: S-2552)",Technical/Polytechnic
