Sl.No,State_Name,Institution_Name,Institution_Type
961,Assam,DIBRUGARH MEDICAL COLLEGE HOSPITAL DIBRUGARH (Id: S-3699),Nursing
962,Assam,"DIBRUGARH POLYTECHNIC LAHOWAL, DIBRUGARH (Id: S-683)",Technical/Polytechnic
963,Assam,DIET BARPETA (Id: S-5695),Teacher Training
964,Assam,DIET CACHAR (Id: S-5696),Teacher Training
965,Assam,DIET DARRANG (Id: S-5697),Teacher Training
966,Assam,DIET DHUBRI (Id: S-5698),Teacher Training
967,Assam,DIET DIBRUGARH (Id: S-5699),Teacher Training
968,Assam,DIET DUDHNOI (Id: S-5700),Teacher Training
969,Assam,DIET GOLAGHAT (Id: S-5701),Teacher Training
970,Assam,DIET JORHAT (Id: S-5702),Teacher Training
971,Assam,DIET KAMRUP (Id: S-5703),Teacher Training
972,Assam,DIET KARIMGANJ (Id: S-5704),Teacher Training
973,Assam,DIET KOKRAJHAR (Id: S-5705),Teacher Training
974,Assam,DIET LAKHIMPUR (Id: S-5706),Teacher Training
975,Assam,DIET MORIGAON (Id: S-5707),Teacher Training
976,Assam,DIET NAGAON (Id: S-5709),Teacher Training
977,Assam,DIET NALBARI (Id: S-5710),Teacher Training
978,Assam,DIET N.C. HILLS (Id: S-5708),Teacher Training
979,Assam,DIET SONARI (Id: S-5711),Teacher Training
980,Assam,DIET SONITPUR (Id: S-5712),Teacher Training
981,Assam,DOWN TOWN SCHOOL OF NURSING KAMRUP (Id: S-3700),Nursing
982,Assam,GANDHI ACADEMY OF TECHNICAL EDUCATION POLYTECHNIC (Id: S-684),Technical/Polytechnic
983,Assam,GANDHIJI INSTITUTE OF SCIENCE AND TECHNOLOGY (Id: S-685),Technical/Polytechnic
984,Assam,GARUDADRI COLLEGE OF D.PHARMACY (Id: S-686),Technical/Polytechnic
985,Assam,GAYATHRI POLYTECHNIC COLLEGE (Id: S-687),Technical/Polytechnic
986,Assam,GIRLS' POLYTECHNIC BAMUNIMAIDAM GUWAHATI-781021 (Id: S-688),Technical/Polytechnic
987,Assam,"GNM TRAINING CENTRE, B.P. CIVIL HOSPITAL, NAGAON (Id: S-13851)",Nursing
988,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, DARRANG (Id: S-13857)",Nursing
989,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, DHEMAJI (Id: S-13854)",Nursing
990,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, DHUBRI (Id: S-13859)",Nursing
991,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, GOALPARA (Id: S-13858)",Nursing
992,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, GOLAGHAT (Id: S-13850)",Nursing
993,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, HAILAKANDI (Id: S-13861)",Nursing
994,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, KARBI ANGLONG (Id: S-13863)",Nursing
995,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, KARIMGANJ (Id: S-13862)",Nursing
996,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, KOKRAJHAR (Id: S-13860)",Nursing
997,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL MORIGAON (Id: S-13852)",Nursing
998,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL, NALBARI (Id: S-13856)",Nursing
999,Assam,"GNM TRAINING CENTRE, CIVIL HOSPITAL SIVASAGAR (Id: S-13849)",Nursing
1000,Assam,"GNM TRAINING CENTRE, LGB CIVIL HOSPITAL, TINSUKIA (Id: S-13848)",Nursing
1001,Assam,"GNM TRAINING CENTRE, MMCH, PANBAZAR (Id: S-13855)",Nursing
1002,Assam,"GNM TRAINING CENTRE, NORTH LAKHIMPUR CIVIL HOSPITAL, LAKHIMPUR (Id: S-13853)",Nursing
1003,Assam,HAJI ABDUL MAJID MEMORIAL NURSING SCHOOL NAGAON (Id: S-3701),Nursing
1004,Assam,H.R.H. THE PRINCE OF WALES INSTITUTE OF ENGINEERING AND TECHNOLOGY JORHAT-785001 (Id: S-689),Technical/Polytechnic
1005,Assam,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY GUWAHATI (Id: S-690),Technical/Polytechnic
1006,Assam,INDIAN OIL CORPORATION LTD. TINSUKIA (Id: S-3702),Nursing
1007,Assam,INTERNATINOAL HOSPITAL SCHOOL OF NURSING KAMRUP (Id: S-3703),Nursing
1008,Assam,JUNIOR TECHNICAL SCHOOL GOALPARA-783121 (Id: S-691),Technical/Polytechnic
1009,Assam,JUNIOR TECHNICAL SCHOOL SIVASAGAR ASSAM (Id: S-692),Technical/Polytechnic
1010,Assam,JYOTI CHITRABAN FILM AND TELEVISION INSTITUTE (Id: S-693),Technical/Polytechnic
1011,Assam,"NEMCARE SCHOOL OF NURSING, BHANGAGARH, GUWAHATI (Id: S-13868)",Nursing
1012,Assam,NORMAL SCHOOL CACHAR (Id: S-5713),Teacher Training
1013,Assam,NORMAL SCHOOL JORHAT (Id: S-5714),Teacher Training
1014,Assam,NORMAL SCHOOL NAGAON (Id: S-5715),Teacher Training
1015,Assam,NORMAL SCHOOL SONITPUR (Id: S-5716),Teacher Training
1016,Assam,NORTH EAST INSTITUTE OF AERONAUTICS GUWAHATI (Id: S-8865),Institutes under Ministries
1017,Assam,NORTH EAST PARAMEDICAL AND NURSING INSTITUTE KAMRUP (Id: S-3705),Nursing
1018,Assam,NOWGONG POLYTECHNIC NAGAON-782001 (Id: S-694),Technical/Polytechnic
1019,Assam,PADMASHREE CHANDRAPRAVA SAIKIANI GIRLS' POLYTECHNIC (Id: S-695),Technical/Polytechnic
1020,Assam,PRAGATI HOSPITAL and RESEARCH CENTRE SIVASAGA (Id: S-3706),Nursing
1021,Assam,"PRATIKSHA SCHOOL OF NURSING, BARBARI, GUWAHATI (Id: S-13867)",Nursing
1022,Assam,RESIDENTIAL GIRLS' POLYTECHNIC GOLAGHAT-785621 (Id: S-696),Technical/Polytechnic
1023,Assam,"SANSKAR MADHAB, SCHOOL OF NURSING, PANIKHAITI (Id: S-13869)",Nursing
1024,Assam,SATRIBARI CHRISTIAN HOSPITAL KAMRUP (Id: S-3708),Nursing
1025,Assam,"SCHOOL OF NURSING, AMCH, DIBRUGARH (Id: S-13844)",Nursing
1026,Assam,"SCHOOL OF NURSING, BAPTIST CHRISTIAN HOSPITAL, TEZPUR (Id: S-13866)",Nursing
1027,Assam,"SCHOOL OF NURSING, DR. IMDH, MOKOKCHUNG, NAGALAND (Id: S-13872)",Nursing
1028,Assam,"SCHOOL OF NURSING,FAAMCH, BARPETA (Id: S-13847)",Nursing
1029,Assam,"SCHOOL OF NURSING, GMCH, GUWAHATI (Id: S-13845)",Nursing
1030,Assam,"SCHOOL OF NURSING, INDIAN OIL LTD. DULIAJAN (Id: S-13864)",Nursing
1031,Assam,"SCHOOL OF NURSING, JMCH, JORHAT (Id: S-13846)",Nursing
1032,Assam,"SCHOOL OF NURSING, JORHAT (Id: S-13865)",Nursing
1033,Assam,SCHOOL OF NURSING SONITPUR (Id: S-3709),Nursing
1034,Assam,"SCHOOL OF NURSING, ST. AUGUSTINE CHRISTIAN HOSPITAL, CHIRANG (Id: S-13870)",Nursing
1035,Assam,S D SAHEWALLA MEMORIAL SCHOOL OF NURSING DIBRUGARH (Id: S-3707),Nursing
1036,Assam,SILCHAR MEDICAL COLLEGE AND HOSP CACHAR (Id: S-3710),Nursing
1037,Assam,SILCHAR POLYTECHNIC MEHERPUR SILCHAR-788005 (Id: S-697),Technical/Polytechnic
1038,Assam,ST GEROSA INSTITUTE OF NURSING DIBRUGARH (Id: S-3711),Nursing
1039,Assam,ST LUKE'S HOSPITAL TINSUKIA (Id: S-3712),Nursing
1040,Bihar,"ANUGHRA NARAYAN MAGADH MEDICAL COLLEGE HOSPITAL, GAYA (Id: S-3713)",Nursing
1041,Bihar,"AZMET COLLEGE OF ENGINEERING and TECHNOLOGY,KISHANGANJ (Id: S-12855)",Technical/Polytechnic
1042,Bihar,"BHABHA INSTITUTE OF TECHNOLOGY, GAYA (Id: S-13789)",Technical/Polytechnic
1043,Bihar,"BHAGWAN BUDDHA PRIMARY TEACHERS EDUCATION COLLEGE BAJRAHIYAN, SIWAN (Id: S-12853)",Teacher Training
1044,Bihar,BHARAT INSTITUTE OF AERONAUTICS PATNA (Id: S-8866),Institutes under Ministries
1045,Bihar,BUDDHA INSTITUTE OF TECHNOLOGY GAYA (Id: S-699),Technical/Polytechnic
1046,Bihar,BUDHA SIKSHA SEVA SANSTHAN PATNA (Id: S-5717),Teacher Training
1047,Bihar,CENTRAL INSTITUTE OF PLASTICS ENGINEERING and TECHNOLOGY VAISHALI (Id: S-700),Technical/Polytechnic
1048,Bihar,CHANDRAGUPT INSTITUTE OF MANAGEMENT PATNA (Id: S-40),PGDM Institutes
1049,Bihar,"DARBHANGA MEDICAL COLLEGE and HOSPITAL, DARBHANGA (Id: S-3714)",Nursing
1050,Bihar,DISTRICT INSTITUTE OF EDUCATION and TRAINING BHOJPUR (Id: S-5718),Teacher Training
1051,Bihar,"DISTRICT INSTITUTE OF EDUCATION and TRAINING DIGGI, VAISHALI (Id: S-12703)",Teacher Training
1052,Bihar,DISTRICT INSTITUTE OF EDUCATION and TRAINING GAYA (Id: S-5719),Teacher Training
1053,Bihar,"DISTRICT INSTITUTE OF EDUCATION and TRAINING KUMAR BAGH, WEST CHAMPARAN (Id: S-12705)",Teacher Training
1054,Bihar,DISTRICT INSTITUTE OF EDUCATION and TRAINING MADHEPURA (Id: S-5720),Teacher Training
1055,Bihar,"DISTRICT INSTITUTE OF EDUCATION and TRAINING NARAN, MADHUBANI (Id: S-12706)",Teacher Training
1056,Bihar,DISTRICT INSTITUTE OF EDUCATION and TRAINING NAWADA (Id: S-5721),Teacher Training
1057,Bihar,"DISTRICT INSTITUTE OF EDUCATION and TRAINING NOORSARAI, NALANDA (Id: S-12700)",Teacher Training
1058,Bihar,DISTRICT INSTITUTE OF EDUCATION and TRAINING PATNA (Id: S-5722),Teacher Training
1059,Bihar,"DISTRICT INSTITUTE OF EDUCATION and TRAINING PUSA, SAMASTIPUR (Id: S-12704)",Teacher Training
1060,Bihar,"DISTRICT INSTITUTE OF EDUCATION and TRAINING RAMBAGH, MUZAFFARPUR (Id: S-12713)",Teacher Training
1061,Bihar,DISTRICT INSTITUTE OF EDUCATION and TRAINING SIWAN (Id: S-5723),Teacher Training
1062,Bihar,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, SONEPUR (Id: S-12701)",Teacher Training
1063,Bihar,"DISTRICT INSTITUTE OF EDUCATION and TRAINING THAWAE, GOPALGANJ (Id: S-12702)",Teacher Training
1064,Bihar,DR. AMBEDKAR HINDI SANSKRIT VIDYAPEETH BIHAR CUM EDUCATION and TRAINING BEGUSARAI (Id: S-5724),Teacher Training
1065,Bihar,DR ZAKKIR HUSSAIN TEACHER TRAINING COLLEGE DARBHANGA (Id: S-12720),Teacher Training
1066,Bihar,"DUNCAN HOSPITAL, EAST CHAMPARAN (Id: S-3715)",Nursing
1067,Bihar,"GAUTAM BUDDHA TEACHERS TRAINING COLLEGE SURESH NAGAR, NALANDA (Id: S-12852)",Teacher Training
1068,Bihar,GOVERNMENT POLYTECHNIC BARAUNI (Id: S-702),Technical/Polytechnic
1069,Bihar,GOVERNMENT POLYTECHNIC BHAGALPUR (Id: S-703),Technical/Polytechnic
1070,Bihar,GOVERNMENT POLYTECHNIC CHAPRA (Id: S-704),Technical/Polytechnic
1071,Bihar,GOVERNMENT POLYTECHNIC DARBHANGA (Id: S-705),Technical/Polytechnic
1072,Bihar,GOVERNMENT POLYTECHNIC GAYA (Id: S-706),Technical/Polytechnic
1073,Bihar,GOVERNMENT POLYTECHNIC GOPALGANJ (Id: S-707),Technical/Polytechnic
1074,Bihar,GOVERNMENT POLYTECHNIC MUZAFFARPUR (Id: S-708),Technical/Polytechnic
1075,Bihar,GOVERNMENT POLYTECHNIC PATNA (Id: S-709),Technical/Polytechnic
1076,Bihar,GOVT. POLYTECHNIC PURNEA (Id: S-710),Technical/Polytechnic
1077,Bihar,GOVT. POLYTECHNIC SAHARSA (Id: S-711),Technical/Polytechnic
1078,Bihar,GOVT. WOMEN POLYTEHNIC MUZAFFARPUR (Id: S-712),Technical/Polytechnic
1079,Bihar,GOVT. WOMEN'S POLYTECHNIC PATNA (Id: S-713),Technical/Polytechnic
1080,Bihar,"INDIAN RAILWAYS INSTITUTE OF MECHANICAL and ELECTRICAL ENGINEERING, JAMALPUR (Id: S-8867)",Institutes under Ministries
1081,Bihar,"INSTITUTE OF BUSINESS MANAGEMENT, BUDHMARG PATNA (Id: S-13791)",PGDM Institutes
1082,Bihar,"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, HAZIPUR (Id: S-13790)",Institutes under Ministries
1083,Bihar,"K.K.POLYTECHNIC,NALANDA (Id: S-12854)",Technical/Polytechnic
1084,Bihar,"KURJI HOLY FAMILY HOSPITAL, PATNA (Id: S-3716)",Nursing
1085,Bihar,"MATA GUJRI MEMORIAL G N M NURSING SCHOOL, KISHANGANJ (Id: S-13795)",Nursing
1086,Bihar,MILLAT PTEC MADHUBANI (Id: S-12722),Teacher Training
1087,Bihar,MILLIA POLYTECHNIC PURNEA (Id: S-714),Technical/Polytechnic
1088,Bihar,"MIRZA GALIB TEACHERS TRAINING COLLEGE RAJAPUR, PATNA (Id: S-12721)",Teacher Training
1089,Bihar,"NALANDA MEDICAL COLLEGE and HOSPITAL, PATNA (Id: S-3717)",Nursing
1090,Bihar,"NARAYAN NURSING COLLEGE, SASARAM (Id: S-13796)",Nursing
1091,Bihar,"NAZARETH HOSPITAL MOKAMA, PATNA (Id: S-3718)",Nursing
1092,Bihar,NEW GOVERNMENT POLYTECHNIC PATNA-13 (Id: S-715),Technical/Polytechnic
1093,Bihar,"PATLIPUTRA G N M TRAINING SCHOOL, PATNA (Id: S-13798)",Nursing
1094,Bihar,"PATNA MEDICAL COLLEGE HOSPITAL, PATNA (Id: S-3719)",Nursing
1095,Bihar,PIHMCT PATNA (Id: S-718),Technical/Polytechnic
1096,Bihar,"PTEC BANGRA, SARAN (Id: S-12719)",Teacher Training
1097,Bihar,"PTEC BARH, PATNA (Id: S-12708)",Teacher Training
1098,Bihar,"PTEC BNR COLLEGE, PATNA (Id: S-12716)",Teacher Training
1099,Bihar,"PTEC CHANDWARA, MUZAFFARPUR (Id: S-12712)",Teacher Training
1100,Bihar,PTEC KISHANGANJ (Id: S-12709),Teacher Training
1101,Bihar,"PTEC LASKARIGANJ, SASARAM (Id: S-12718)",Teacher Training
1102,Bihar,"PTEC MADHOPATTI, DARBHANGA (Id: S-12710)",Teacher Training
1103,Bihar,"PTEC MAHENDRU, PATNA (Id: S-12707)",Teacher Training
1104,Bihar,"PTEC MOKAMA, PATNA (Id: S-12717)",Teacher Training
1105,Bihar,PTEC MOTIHARI (Id: S-12714),Teacher Training
1106,Bihar,"PTEC PATARHI, MUZAFFARPUR (Id: S-12711)",Teacher Training
1107,Bihar,"PTEC POHRARA, MUZAFFARPUR (Id: S-12715)",Teacher Training
1108,Bihar,"RASHIDIYA RANI SAGARI TEACHERS EDUCATION COLLEGE CHAND BAJIPUR, GAYA (Id: S-12851)",Teacher Training
1109,Bihar,"R B MEMORIAL SCHOOL OF NURSING, DARBHANGA (Id: S-3720)",Nursing
1110,Bihar,"School of Nursing, J L N M C H BHAGALPUR (Id: S-12835)",Nursing
1111,Bihar,"SHRI KRISHNA MEDICAL COLLEGE and HOSPITAL, MUZAFFARPUR (Id: S-3721)",Nursing
1112,Bihar,"ST JESSUS PRIMARY TEACHERS EDUCATION COLLEGE BETTIAH, WEST CHAMPARAN (Id: S-12819)",Teacher Training
1113,Bihar,"SWAMI VIVEKANAND NURSING SCHOOL, JAMUI (Id: S-13797)",Nursing
1114,Bihar,"TRIPOLIA SCHOOL OF NURSING, PATNA (Id: S-3722)",Nursing
1115,Chandigarh,D.A.V. MODEL SCHOOL CHANDIGARH (Id: S-5725),Teacher Training
1116,Chandigarh,"GOVERNMENT POLYTECHNIC FOR WOMEN, CHANDIGARH (Id: S-12472)",Technical/Polytechnic
1117,Chandigarh,RAJARAM MOHAN RAI INSTITUTE OF VOCATIONAL STUDIES CHANDIGARH (Id: S-5726),Teacher Training
1118,Chandigarh,REGIONAL INSTITUTE OF COOPERATIVE MANAGEMENT (Id: S-41),PGDM Institutes
1119,Chandigarh,STATE INSTITUTE OF EDUCATION CHANDIGARH (Id: S-5727),Teacher Training
1120,Chhatisgarh,"BTI BILASPUR, BILASPUR (Id: S-12442)",Teacher Training
1121,Chhatisgarh,"BTI DONGARGAON, RAJNANDGAON (Id: S-12470)",Teacher Training
1122,Chhatisgarh,C G SCHOOL OF NURSING RAIPUR (Id: S-3723),Nursing
1123,Chhatisgarh,CHANDULAL CHANDRAKAR MEMORIAL HOSPITAL DURG (Id: S-3724),Nursing
1124,Chhatisgarh,"CHHATTISGARH EDUCATIONAL SOCIETYs PRAGATI COLLEGE, RAIPUR (Id: S-12464)",Teacher Training
1125,Chhatisgarh,"DAYANAND SHIKSHA SAMITIs GHANSHYAM SINGH ARYA KANYA COLLEGE, DURG (Id: S-12451)",Teacher Training
1126,Chhatisgarh,DHAMTARI CHRISTIAN HOSPITAL DHAMTARI (Id: S-3725),Nursing
1127,Chhatisgarh,"DIET AMBIKAPUR, SURGUJA (Id: S-12471)",Teacher Training
1128,Chhatisgarh,"DIET BASTER, BASTAR (Id: S-12439)",Teacher Training
1129,Chhatisgarh,"DIET BEMETARA, DURG (Id: S-12448)",Teacher Training
1130,Chhatisgarh,"DIET DANTEWADA, DANTEWADA (Id: S-12445)",Teacher Training
1131,Chhatisgarh,"DIET DHARAMJAIGARH, RAIGARH (Id: S-12461)",Teacher Training
1132,Chhatisgarh,"DIET JANJGIR, JANJGIR-CHAMPA (Id: S-12453)",Teacher Training
1133,Chhatisgarh,"DIET JASHPUR, JASHPUR (Id: S-12455)",Teacher Training
1134,Chhatisgarh,"DIET KABIRDHAM, KAWARDHA (Id: S-12465)",Teacher Training
1135,Chhatisgarh,"DIET, KABIRDHAM, KAWARDHA (Id: S-12458)",Teacher Training
1136,Chhatisgarh,"DIET KANKER, KANKER (Id: S-12457)",Teacher Training
1137,Chhatisgarh,"DIET KHAIRAGARH, RAJNANDGAON (Id: S-12469)",Teacher Training
1138,Chhatisgarh,"DIET KORBA, KORBA (Id: S-12459)",Teacher Training
1139,Chhatisgarh,"DIET KORIYA, KORIYA (Id: S-12460)",Teacher Training
1140,Chhatisgarh,"DIET MAHASAMUND, MAHASAMUND (Id: S-12462)",Teacher Training
1141,Chhatisgarh,"DIET NAGRI, DHAMTARI (Id: S-12447)",Teacher Training
1142,Chhatisgarh,"DIET PENDRA, BILASPUR (Id: S-12441)",Teacher Training
1143,Chhatisgarh,"DIET RAIPUR, RAIPUR (Id: S-12463)",Teacher Training
1144,Chhatisgarh,DISHA SCHOOL OF MANAGEMENT (DSM) (Id: S-720),PGDM Institutes
1145,Chhatisgarh,DISTRICT INSTITUTE OF EDUCATION and TRAINING BASTAR (Id: S-5728),Teacher Training
1146,Chhatisgarh,DISTRICT INSTITUTE OF EDUCATION and TRAINING BILASPUR (Id: S-5729),Teacher Training
1147,Chhatisgarh,DISTRICT INSTITUTE OF EDUCATION and TRAINING RAIGAD (Id: S-5730),Teacher Training
1148,Chhatisgarh,DISTRICT INSTITUTE OF EDUCATION and TRAINING RAJNANGAON (Id: S-5731),Teacher Training
1149,Chhatisgarh,DISTRICT INSTITUTE OF EDUCATION and TRAINING SARGUJA (Id: S-5732),Teacher Training
1150,Chhatisgarh,"GDR EDUCATIONAL SOCIETYs GD RUNGTA COLLEGE FO SCIENCE and TECHNOLOGY, DURG (Id: S-12452)",Teacher Training
1151,Chhatisgarh,"GH RAISONI FOUNDATIONSs GH RAISONI NATIONAL COLLEGE, RAIPUR (Id: S-12466)",Teacher Training
1152,Chhatisgarh,G N M TRAINING CENTRE RAIPUR (Id: S-3726),Nursing
1153,Chhatisgarh,GOVERNMENT BASIC TRAINING INSTITUTE BILASPUR (Id: S-5733),Teacher Training
1154,Chhatisgarh,GOVERNMENT BASIC TRAINING INSTITUTE JANJGIR (Id: S-5734),Teacher Training
1155,Chhatisgarh,GOVERNMENT BASIC TRAINING INSTITUTE JASPUR NAGAR (Id: S-5735),Teacher Training
1156,Chhatisgarh,GOVERNMENT BASIC TRAINING INSTITUTE KANKER (Id: S-5736),Teacher Training
1157,Chhatisgarh,GOVERNMENT BASIC TRAINING INSTITUTE RAIPUR (Id: S-5737),Teacher Training
1158,Chhatisgarh,GOVERNMENT BASIC TRAINING INSTITUTE RAJANANDGAON (Id: S-5738),Teacher Training
1159,Chhatisgarh,"GRAM MEDUKA SIKSHAN SAMITIs COLLEGE OF EDUCATION, BILASPUR (Id: S-12444)",Teacher Training
1160,Chhatisgarh,HOLY CROSS HOSPITAL SURGUJA (Id: S-3727),Nursing
1161,Chhatisgarh,"INDIAN INSTITUTE OF MANAGEMENT, RAIPUR (Id: S-8868)",Institutes under Ministries
1162,Chhatisgarh,INSTITUTE OF BUSINESS STUDIES RAIPUR (Id: S-44),PGDM Institutes
1163,Chhatisgarh,INSTITUTE OF MANAGEMENT AND GLOBAL EDUCATION (Id: S-45),PGDM Institutes
1164,Chhatisgarh,INSTITUTE OF TECH. and SCIENCE RAIPUR (Id: S-5739),Teacher Training
1165,Chhatisgarh,JACKMAN SCHOOL OF NURSING BILASPUR (Id: S-3728),Nursing
1166,Chhatisgarh,LE MAGNUS SCHOOL OF MANAGEMENT (Id: S-46),PGDM Institutes
1167,Chhatisgarh,"MAITRI EDUCATIONAL AND CULTURAL ASSONs BHILAI MAITRI COLLEGE, DURG (Id: S-12450)",Teacher Training
1168,Chhatisgarh,MODERN MEDICAL INSTITUTE RAIPUR (Id: S-3729),Nursing
1169,Chhatisgarh,"NIRMAL VICE PROVINCE DHARAMPURAs CHRIST COLLEGE, BASTAR (Id: S-12440)",Teacher Training
1170,Chhatisgarh,P G COLLEGE OF NURSING DURG (Id: S-3730),Nursing
1171,Chhatisgarh,PRISM SCHOOL OF BUSINESS AND ENTREPRENEURSHIP (Id: S-47),PGDM Institutes
1172,Chhatisgarh,RAHOD EDUCATION SOCIETY CHAMPA (Id: S-5740),Teacher Training
1173,Chhatisgarh,"RAHOD EDUCATION SOCIETYs RAHOD EDUCATION SOCIETY,JANJGIR-CHAMPA (Id: S-12454)",Teacher Training
1174,Chhatisgarh,RAI BUSINESS SCHOOL (Id: S-48),PGDM Institutes
1175,Chhatisgarh,RAVI SHANKAR BUSINESS SCHOOL (Id: S-49),PGDM Institutes
1176,Chhatisgarh,RITEE BUSINESS SCHOOL (RIBS) RAIPUR (Id: S-50),PGDM Institutes
1177,Chhatisgarh,SAI FLYTECH AERONAUTICAL ENGINEERING COLLEGE BILASPUR (Id: S-8869),Institutes under Ministries
1178,Chhatisgarh,"SANTA CRUX SISTERS ASSOCIATION PATTHALGAONs HOLY CROSS BTI, JASHPUR (Id: S-12456)",Teacher Training
1179,Chhatisgarh,SCHOOL OF NURSING JASHPUR (Id: S-3731),Nursing
1180,Chhatisgarh,SHIVALIK INSTITUTE OF MANAGEMENT EDUCATION AND RESEARCH (Id: S-51),PGDM Institutes
1181,Chhatisgarh,SHREYAS NURSING SCHOOL DURG (Id: S-3732),Nursing
1182,Chhatisgarh,SHRI BALAJI SUPER SPECIALITY HOSPITAL RAIPUR (Id: S-3733),Nursing
1183,Chhatisgarh,"SHRI RAWATPURA SARKAR LOK KALYAN TRUSTs SHRI RAWATPURA SARKAR INSTITUTE, DURG (Id: S-12449)",Teacher Training
1184,Chhatisgarh,"SHRI RAWATPURA SARKAR LOK KALYAN TRUSTs SHRI RAWATPURA SARKAR INSTITUTE, RAIPUR (Id: S-12468)",Teacher Training
1185,Chhatisgarh,SKY COLLEGE OF AERONAUTICAL ENGINEERING DURG (Id: S-8870),Institutes under Ministries
1186,Chhatisgarh,"SMT DURGA DEVI SMRITI SEVA SAMITIs INSTITUTE OF TECHNOLOGY AND SCIENCES, RAIPUR (Id: S-12467)",Teacher Training
1187,Chhatisgarh,"SNATAK MAHAVIDYALAYA SIKSHAN SAMITIs DP VIPRA COLLEGE OF EDUCATION, BILASPUR (Id: S-12443)",Teacher Training
1188,Chhatisgarh,THE EVANGELICAL MISSION HOSPITAL RAIPUR (Id: S-3734),Nursing
1189,Chhatisgarh,"VISHWA BHARATHI EDUCATIONAL DEVELOPMENT SOCIETYs VISHWA BHARATHI INSTITUTE KONTA, DANTEWADA (Id: S-12446)",Teacher Training
1190,Chhatisgarh,VISWA BHARTI INSTITUTE DANTEWADA (Id: S-5741),Teacher Training
1191,Dadra and Nagar Haveli,GOVERNMENT POLYTECHNIC (Id: S-751),Technical/Polytechnic
1192,Dadra and Nagar Haveli,SCHOOL OF NURSING DADRA (Id: S-3735),Nursing
1193,Daman and Diu,ADITYA INSTITUTE OF TECHNOLOGY 107/9 KISHAN GARH VASANT KUNJ (Id: S-752),Technical/Polytechnic
1194,Daman and Diu,GOVERNMENT POLYTECHNIC DAMAN (Id: S-753),Technical/Polytechnic
1195,Daman and Diu,MARUTI EDUCATION SOCIETY VANAKBARADIU (Id: S-5742),Teacher Training
1196,Daman and Diu,SHRI AMARJOYT EDUCATION SOCIETY'S NANI DAMAN (Id: S-5743),Teacher Training
1197,Delhi,"ADITYA INSTITUTE OF TECHNOLOGY, DELHI (Id: S-754)",Technical/Polytechnic
1198,Delhi,"AKANKSHA INSTITUTE OF NURSING, NAJAFGARH (Id: S-13933)",Nursing
1199,Delhi,AMBEDKAR POLYTECHNIC SHAKARPUR (OPP MADHUBAN) (Id: S-755),Technical/Polytechnic
1200,Delhi,"Amity Institute of Education, Saket (Id: S-13807)",Teacher Training
1201,Delhi,APEEJAY SCHOOL OF MANAGEMENT (Id: S-757),PGDM Institutes
1202,Delhi,"APOLLO SCHOOL OF NURSING, NEW DELHI (Id: S-3745)",Nursing
1203,Delhi,ARYABHAT POLYTECHNIC G.T.KARNAL ROAD (Id: S-758),Technical/Polytechnic
1204,Delhi,ASCENT INSTITUTE OF NURSING EDUCATION NORTH WEST (Id: S-3736),Nursing
1205,Delhi,ASIA-PACIFIC INSTITUTE OF MANAGEMENT (Id: S-53),PGDM Institutes
1206,Delhi,BABA HARIDASS COLLEGE OF PHARMACY and TECHNOLOGY (Id: S-13936),Technical/Polytechnic
1207,Delhi,BABA HARI DASS INSTITUTE OF NURSING EDUCATION SOUTH WEST (Id: S-3737),Nursing
1208,Delhi,BHARATIYA VIDYA BHAVAN'S USHA AND LAKSHMI MITTAL INSTITUTE OF MANAGEMENT (Id: S-54),PGDM Institutes
1209,Delhi,BIRLA INSTITUTE OF MANAGEMENT and TECHNOLOGY (Id: S-55),Technical/Polytechnic
1210,Delhi,BSF POLYTECHNIC (Id: S-760),Technical/Polytechnic
1211,Delhi,BUDHA INSTITUTE OF ENGINEERING AND AERONAUTICS NEW DELHI (Id: S-8871),Institutes under Ministries
1212,Delhi,CENTER FOR CIVIL AVIATION TRAINING NEW DELHI (Id: S-8872),Institutes under Ministries
1213,Delhi,CENTRE FOR MANAGEMENT EDUC ATION (Id: S-56),Technical/Polytechnic
1214,Delhi,CHHOTU RAM RURAL INSTITUTE OF TECHNOLOGY KANJHAWALA (GHEVRA) (Id: S-761),Technical/Polytechnic
1215,Delhi,"Delhi College of Vocational Studies and Research, Baprola (Id: S-13808)",Teacher Training
1216,Delhi,DELHI INSTITUTION OF PHARMACEUTICAL SCIENCES AND RESEARCH (Id: S-763),Technical/Polytechnic
